Type ligne ;Type Budget;code;Mission;Ministere;Libelle;Libelle abrege
ACT;BG;169-07;;;Actions en faveur des rapatriés;
PGM;BG;167;MB;70;Liens entre la Nation et son armée;LiensNationArmée
ACT;BG;167-02;;;Politique de mémoire;
ACT;BG;167-01;;;Liens armées-jeunesse;
PGM;BG;158;MB;12;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;Indemnisation des victime
ACT;BG;158-01;;;Indemnisation des orphelins de la déportation et des victimes de spoliations du fait des législations antisémites en vigueur pendant l'Occupation;Indemn. orph. déport.
ACT;BG;158-02;;;Indemnisation des victimes d'actes de barbarie durant la seconde guerre mondiale;Indemn. vict.actes barb.
MSN;BG;OA;;;Outre-mer;Outre-mer
PGM;BG;138;OA;44;Emploi outre-mer;Emploi outre-mer
ACT;BG;138-02;;;Aide à l'insertion et à la qualification professionnelle;
SSA;BG;138-02-25;;;Aides à la qualification professionnelle et à l'adaptation à l'emploi -RSMA Nouvelle-Calédonie;
SSA;BG;138-02-27;;;Aides à la qualification professionnelle et à l'adaptation à l'emploi - RSMA Réunion;
SSA;BG;138-02-30;;;Passeport mobilité formation professionnelle;
SSA;BG;138-02-11;;;Aides à l'insertion et à l'emploi dans les collectivités d'outre-mer;
SSA;BG;138-02-17;;;Accompagnement, évaluations et dialogue social;
SSA;BG;138-02-18;;;Aides à la qualification professionnelle et à l'adaptation à l'emploi - Commandement du SMA;
SSA;BG;138-02-19;;;Aides à la qualification professionnelle et à l'adaptation à l'emploi - Détachement du SMA Périgueux;
SSA;BG;138-02-20;;;Aides à la qualification professionnelle et à l'adaptation à l'emploi - RSMA Guadeloupe;
SSA;BG;138-02-21;;;Aides à la qualification professionnelle et à l'adaptation à l'emploi - RSMA Guyane;
SSA;BG;138-02-23;;;Aides à la qualification professionnelle et à l'adaptation à l'emploi - RSMA Martinique;
SSA;BG;138-02-24;;;Aides à la qualification professionnelle et à l'adaptation à l'emploi - BSMA Mayotte;
SSA;BG;138-02-26;;;Aides à la qualification professionnelle et à l'adaptation à l'emploi - RSMA Polynésie Française;
SSA;BG;138-02-31;;;Formation en mobilité: subventions;
ACT;BG;138-01;;;Soutien aux entreprises;
SSA;BG;138-01-01;;;Abaissement du coût du travail - Exonération de cotisations sociales;
SSA;BG;138-01-02;;;Abaissement du coût du fret;
SSA;BG;138-01-03;;;Autres aides aux entreprises;
ACT;BG;138-03;;;Pilotage des politiques des outre-mer;
ACT;BG;138-04;;;Financement de l’économie;Financement économie
PGM;BG;123;OA;44;Conditions de vie outre-mer;CondVieOutre-mer
ACT;BG;123-07;;;Insertion économique et coopération régionales;
SSA;BG;123-07-01;;;Intégration des collectivités d’outre-mer dans leur environnement régional;
SSA;BG;123-07-02;;;Défense des intérêts des collectivités d’outre-mer dans le cadre international;
ACT;BG;123-06;;;Collectivités territoriales;
SSA;BG;123-06-06;;;Programmes prioritaires ciblés -  Dotation de 1er numérotage;
SSA;BG;123-06-05;;;Programmes prioritaires ciblés - Réforme de l’état-civil à Mayotte;
SSA;BG;123-06-11;;;Dotations de rattrapage et d'aide au développement;
SSA;BG;123-06-12;;;Dotations de rattrapage et d’aide au développement aide à la reconversion de l’économie polynésienne;
SSA;BG;123-06-14;;;Subventions d’équilibre;
SSA;BG;123-06-16;;;Actions d'urgence et de solidarité nationale suite aux calamités et actions de défense civile;
SSA;BG;123-06-19;;;Moyens de sécurité civile;
SSA;BG;123-06-20;;;Lutte contre l'orpaillage clandestin en Guyane;
SSA;BG;123-06-13;;;Travaux divers d’intérêt local;
ACT;BG;123-08;;;Fonds exceptionnel d'investissement;
SSA;BG;123-08-01;;;Fonds exceptionnel d'investissement;
SSA;BG;123-08-02;;;Plan de relance - Fonds exceptionnel d'investissement;
ACT;BG;123-01;;;Logement;
SSA;BG;123-01-06;;;Logement social - Etudes et manifestations;
SSA;BG;123-01-07;;;Accompagnement des politiques urbaines d'aménagement (hors CPER);
SSA;BG;123-01-08;;;Accompagnement des politiques urbaines d'aménagement (CPER);
SSA;BG;123-01-01;;;Logement social - Construction de logements locatifs sociaux;
SSA;BG;123-01-02;;;Logement social - Accession à la propriété;
SSA;BG;123-01-03;;;Logement social - Amélioration du parc locatif social;
SSA;BG;123-01-04;;;Logement social - Amélioration du parc privé;
SSA;BG;123-01-05;;;Logement social - Aide exceptionnelle de l'Etat prévue par l'article 3 de la Loi du 30/12/1996;
SSA;BG;123-01-12;;;Résorption de l'habitat insalubre (hors CPER);
SSA;BG;123-01-16;;;Plan de relance - Logement;
ACT;BG;123-02;;;Aménagement  du territoire;
SSA;BG;123-02-04;;;Autres interventions non contractualisé;
SSA;BG;123-02-02;;;Contrats en cours;
SSA;BG;123-02-03;;;Anciennes générations de contrats;
ACT;BG;123-04;;;Sanitaire, social, culture, jeunesse et sports;
SSA;BG;123-04-01;;;Aides sociales;
SSA;BG;123-04-02;;;Actions sanitaires et sociales;
SSA;BG;123-04-05;;;Protection sociale;
SSA;BG;123-04-06;;;Culture, jeunesse et sports;
SSA;BG;123-04-04;;;Agence de santé de Wallis-et-Futuna;
ACT;BG;123-03;;;Continuité territoriale;
SSA;BG;123-03-02;;;Fonds de continuité territoriale;
SSA;BG;123-03-04;;;Désenclavement  - Desserte aérienne et maritime (hors CPER);
SSA;BG;123-03-03;;;Fonds d'échanges éducatifs, culturels et sportifs;
ACT;BG;123-09;;;Appui à l'accès aux financements bancaires;
SSA;BG;123-09-01;;;Agence française de développement (AFD) - Bonification d'intérêts;
SSA;BG;123-09-02;;;Fonds de garantie agriculture et pêche;
MSN;CCF;ZF;;;Prêts et avances à des particuliers ou à des organismes privés;Prêts&avPartOrgPriv
PGM;CCF;861;ZF;21;Prêts et avances pour le logement des agents de l'État;Prêts&avancLogtAgtEtat
ACT;CCF;861-04;;;Avances aux agents de l'État à l'étranger pour la prise en location d'un logement;
PGM;CCF;862;ZF;21;Prêts pour le développement économique et social;PrêtsDéveEco&Social
ACT;CCF;862-01;;;Prêts pour le développement économique et social;
PGM;CCF;868;ZF;21;Prêts et avances pour le développement du commerce avec l'Iran;PrêtsAvanceCommerceIran
ACT;CCF;868-01;;;Prêts et avances pour le développement du commerce avec l'Iran;
PGM;CCF;869;ZF;23;Prêts à la société concessionnaire de la liaison express entre Paris et l'aéroport Paris-Charles de Gaulle;PrêtsCDGExpress
ACT;CCF;869-01;;;Prêts à la société concessionnaire de la liaison express entre Paris et l'aéroport Paris-Charles de Gaulle;
MSN;CCF;ZB;;;Avances à divers services de l'État ou organismes gérant des services publics;AvancesServicesÉtat
PGM;CCF;821;ZB;21;Avances à l'Agence de services et de paiement, au titre du préfinancement des aides communautaires de la politique agricole commune;AvancesAgenceServPaiement
ACT;CCF;821-01;;;Avances au titre du préfinancement des aides communautaires de la politique agricole commune;
PGM;CCF;823;ZB;21;Avances à des organismes distincts de l'État et gérant des services publics;AvancesOrgaDistinctsEtat
ACT;CCF;823-01;;;Avances à des organismes distincts de l'État et gérant des services publics;
PGM;CCF;824;ZB;21;Avances à des services de l'État;AvancesServicesÉtat
ACT;CCF;824-01;;;Avances au budget annexe « Contrôle et exploitation aériens »;
PGM;CCF;825;ZB;21;Avances à l'Office national d'indemnisation des accidents médicaux, des affections iatrogènes et des infections nosocomiales (ONIAM) au titre de l'indemnisation des victimes du Benfluorex;Avances ONIAMBenfluorex
ACT;CCF;825-01;;;Avances à l'ONIAM au titre de l'indemnisation des victimes du Benfluorex;
MSN;BG;PB;;;Pouvoirs publics;Pouvoirs publics
PGM;BG;511;PB;07;Assemblée nationale;Assemblée nationale
ACT;BG;511-01;;;Assemblée nationale;
PGM;BG;501;PB;07;Présidence de la République;Présidence de la Républiq
ACT;BG;501-01;;;Présidence de la République;
PGM;BG;531;PB;07;Conseil constitutionnel;Conseil constitutionnel
ACT;BG;531-01;;;Conseil constitutionnel;
PGM;BG;532;PB;07;Haute Cour;Haute Cour
ACT;BG;532-01;;;Haute Cour;
PGM;BG;533;PB;07;Cour de justice de la République;Cour de justice de la Rép
ACT;BG;533-01;;;Cour de justice de la République;
SSA;BG;533-01-01;;;Cour de justice de la République;
SSA;BG;533-01-02;;;Cour de justice de la République : fonction judiciaire;
PGM;BG;541;PB;07;La Chaîne parlementaire;La chaîne parlementaire
ACT;BG;541-01;;;La Chaîne parlementaire - Assemblée nationale;
ACT;BG;541-02;;;Public Sénat;
PGM;BG;521;PB;07;Sénat;Sénat
ACT;BG;521-01;;;Sénat;
ACT;BG;521-02;;;Jardin du Luxembourg;
ACT;BG;521-03;;;Musée du Luxembourg;
PGM;BG;542;PB;07;Indemnités des représentants français au Parlement européen;IndemReprParlEuropéen
ACT;BG;542-01;;;Indemnités des représentants français au Parlement européen;
MSN;CAS;YB;;;Gestion du patrimoine immobilier de l'État;Ges.Patrim.Immo.État
PGM;CAS;721;YB;07;Contribution des cessions immobilières au désendettement de l'État;ContrCessionImmoDsndtEtat
ACT;CAS;721-01;;;Contribution au désendettement de l'État;
PGM;CAS;723;YB;07;Opérations immobilières et entretien des bâtiments de l'État;Operat.EntrBatEtat
ACT;CAS;723-11;;;Opérations structurantes et cessions;
ACT;CAS;723-12;;;Contrôles règlementaires, audits, expertises et diagnostics;
ACT;CAS;723-13;;;Maintenance à la charge du propriétaire;
ACT;CAS;723-14;;;Gros entretien, réhabilitation, mise en conformité et remise en état;
MSN;BG;EC;;;Enseignement scolaire;Ens. Scolaire
PGM;BG;230;EC;06;Vie de l'élève;Vie de l'élève
ACT;BG;230-04;;;Action sociale;
SSA;BG;230-04-01;;;"Dépenses de personnel concourant à l'action ""action sociale""";
SSA;BG;230-04-02;;;Bourses et fonds sociaux;
SSA;BG;230-04-06;;;Services d'action sociale;
ACT;BG;230-03;;;Inclusion scolaire des élèves en situation de handicap;
ACT;BG;230-05;;;Politique de l'internat et établissements à la charge de l'Etat;
ACT;BG;230-01;;;Vie scolaire et éducation à la responsabilité;
ACT;BG;230-02;;;Santé scolaire;
ACT;BG;230-06;;;Actions éducatives complémentaires aux enseignements;
ACT;BG;230-99;;;Dépenses de personnel concourant au programme;
PGM;BG;143;EC;03;Enseignement technique agricole;Ens.Techn&agrico.
ACT;BG;143-99;;;"Dépenses de personnel du programme ""enseignement technique agricole"" à reventiler";
ACT;BG;143-05;;;Moyens communs à l'enseignement technique agricole, public et privé;
SSA;BG;143-05-01;;;Inspection de l'enseignement agricole;
SSA;BG;143-05-02;;;Suivi de l’insertion professionnelle et OETA (observatoire de l’enseignement technique agricole);
SSA;BG;143-05-03;;;Création, rénovation et délivrance des diplômes et titres de l'enseignement agricole - Hors personnel - Actions locales;
SSA;BG;143-05-05;;;Création, rénovation et délivrance des diplômes et titres de l'enseignement agricole - Hors personnel - Actions nationales;
ACT;BG;143-02;;;Mise en oeuvre des enseignements dans les établissements privés;
SSA;BG;143-02-01;;;Enseignement agricole privé à temps plein - Personnel - Actions locales;
SSA;BG;143-02-03;;;Etablissements privés du rythme approprié;
SSA;BG;143-02-04;;;Aides à l'enseignement privé - financement des organisations fédératives, des organismes de formation des personnels et des actions pédagogiques;
SSA;BG;143-02-05;;;Enseignement agricole privé à temps plein - Personnel - Actions nationales;
SSA;BG;143-02-06;;;Etablissements privés du temps plein;
SSA;BG;143-02-07;;;Enseignement agricole privé à temps plein - hors personnel - subvention forfaitaire;
ACT;BG;143-01;;;Mise en oeuvre de l'enseignement dans les établissements publics;
SSA;BG;143-01-04;;;Personnel permanent - Personnels titulaires et stagiaires de l'enseignement agricole public;
SSA;BG;143-01-10;;;Moyens d'appui et de modernisation du système d'enseignement public - Lycées agricoles des collectivités d'outre-mer (hors CPER);
SSA;BG;143-01-17;;;Mise en oeuvre du service partagé des personnels;
SSA;BG;143-01-11;;;Moyens d'ajustement (structurels et conjoncturels) - Personnel enseignant;
SSA;BG;143-01-05;;;Personnel permanent - Personnel de surveillance des établissements - Assistants d'éducation;
SSA;BG;143-01-13;;;Réparation des accidents du travail des élèves et étudiants;
SSA;BG;143-01-12;;;Moyens d'ajustement (structurels et conjoncturels) - Personnel non enseignant;
SSA;BG;143-01-09;;;Moyens d'appui et de modernisation du système d'enseignement public - Lycées agricoles des collectivités d'outre-mer (CPER);
SSA;BG;143-01-08;;;Moyens d'appui et de modernisation du système d'enseignement public - Actions pédagogiques et modernisation de l'appareil de formation (soutien aux opérateurs nationaux);
SSA;BG;143-01-01;;;Personnel permanent - Personnel mis à disposition par le ministère chargé de l'agriculture;
SSA;BG;143-01-02;;;Personnel permanent - Personnel du ministère chargé de l'équipement au titre de des lycées maritimes;
SSA;BG;143-01-03;;;Personnel permanent - Charges de pensions des personnels gagés des établissements publics (CFA, CFPPA);
SSA;BG;143-01-15;;;Personnel TOS inclus dans le périmètre de décentralisation;
SSA;BG;143-01-16;;;Visite médicale des élèves en stage;
SSA;BG;143-01-18;;;Personnel - Autres moyens d'ajustement;
ACT;BG;143-04;;;Évolution des compétences et dynamique territoriale;
SSA;BG;143-04-01;;;Apprentissage et formation professionnelle continue- Action nationales;
SSA;BG;143-04-02;;;Apprentissage et formation professionnelle continue - Actions locales (CPER);
SSA;BG;143-04-03;;;Apprentissage et formation professionnelle continue - Actions locales (hors CPER);
SSA;BG;143-04-05;;;Insertion, adaptation pédagogiques, animation et développement rural - Actions nationales - autres actions;
SSA;BG;143-04-07;;;Insertion, adaptation pédagogiques, animation et développement rural - Actions locales (hors CPER);
SSA;BG;143-04-08;;;Aides à la mobilité internationale (CPER);
SSA;BG;143-04-10;;;Coopération et échanges internationaux - Fonctionnement des réseaux de la coopération et des échanges internationaux;
SSA;BG;143-04-09;;;Aides à la mobilité internationale (hors CPER;
ACT;BG;143-03;;;Aide sociale aux élèves (enseignement public et privé);
SSA;BG;143-03-01;;;Bourses et fonds sociaux;
SSA;BG;143-03-02;;;Inclusion scolaire des élèves en situation de handicap;
PGM;BG;140;EC;06;Enseignement scolaire public du premier degré;ens. sco. pub. 1er dg
ACT;BG;140-02;;;Enseignement élémentaire;
SSA;BG;140-02-01;;;Enseignement élémentaire : personnel;
SSA;BG;140-02-02;;;Enseignement élémentaire : hors personnel (hors CPER);
SSA;BG;140-02-04;;;Droit d'accueil pour les élèves dans les écoles primaires. Remboursement aux communes;
ACT;BG;140-07;;;Personnels en situations diverses;
SSA;BG;140-07-02;;;Personnels en réadaptation ou en réemploi;
SSA;BG;140-07-03;;;Personnels en décharge syndicale;
SSA;BG;140-07-04;;;Partenariats divers;
SSA;BG;140-07-01;;;Personnels en situations diverses : personnel;
ACT;BG;140-01;;;Enseignement pré-élémentaire;
ACT;BG;140-06;;;Pilotage et encadrement pédagogique;
SSA;BG;140-06-02;;;Pilotage et encadrement pédagogiques : personnels de direction;
SSA;BG;140-06-03;;;Pilotage et encadrement pédagogiques : personnels d'inspection;
SSA;BG;140-06-04;;;Pilotage et encadrement pédagogiques : personnels enseignants affectés à l'encadrement pédagogique;
SSA;BG;140-06-01;;;Pilotage et encadrement pédagogique : personnel;
ACT;BG;140-05;;;Remplacement;
ACT;BG;140-03;;;Besoins éducatifs particuliers;
SSA;BG;140-03-01;;;Besoins éducatifs particuliers : personnel;
SSA;BG;140-03-02;;;Prévention et traitement des difficultés scolaires (hors CPER);
SSA;BG;140-03-03;;;Intégration des primo arrivants (hors CPER);
SSA;BG;140-03-05;;;Enseignement à l'extérieur de l'école (hors CPER);
SSA;BG;140-03-04;;;Scolarisation des élèves malades ou handicapés (hors CPER);
ACT;BG;140-04;;;Formation des personnels enseignants;
ACT;BG;140-99;;;Dépenses de personnel du programme à reventiler;
PGM;BG;141;EC;06;Enseignement scolaire public du second degré;ens. sco. pub. 2nd dg
ACT;BG;141-13;;;Personnels en situations diverses;
SSA;BG;141-13-01;;;"Personnels concourant à l'action ""personnels en situations diverses""";
SSA;BG;141-13-02;;;Personnels en réadaptation ou en réemploi;
SSA;BG;141-13-03;;;Personnels en décharges syndicales;
SSA;BG;141-13-04;;;Partenariats divers;
ACT;BG;141-12;;;Pilotage, administration et encadrement pédagogique;
SSA;BG;141-12-01;;;"Dépenses de personnel concourant à l'action ""pilotage, administration et encadrement pédagogique""";
SSA;BG;141-12-02;;;Pilotage, administration et encadrement pédagogique : personnel de direction;
SSA;BG;141-12-03;;;Pilotage, administration et encadrement pédagogique : personnel d'inspection;
SSA;BG;141-12-04;;;Pilotage, administration et encadrement pédagogique : personnels enseignants affectés à l'encadrement pédagogique;
SSA;BG;141-12-05;;;Pilotage, administration et encadrement pédagogique : personnels administratifs des EPLE;
ACT;BG;141-10;;;Formation des personnels enseignants et d'orientation;
ACT;BG;141-06;;;Besoins éducatifs particuliers;
SSA;BG;141-06-01;;;"Dépenses de personnel concourant à l'action ""besoins éducatifs particuliers""";
SSA;BG;141-06-02;;;Prévention et traitement des difficultés scolaires;
SSA;BG;141-06-03;;;Intégration des primo arrivants;
SSA;BG;141-06-04;;;Scolarisation des élèves malades ou handicapés;
SSA;BG;141-06-05;;;Enseignement à l'extérieur de l'EPLE;
ACT;BG;141-04;;;Apprentissage;
ACT;BG;141-03;;;Enseignement professionnel sous statut scolaire;
ACT;BG;141-02;;;Enseignement général et technologique en lycée;
ACT;BG;141-01;;;Enseignement en collège;
ACT;BG;141-11;;;Remplacement;
ACT;BG;141-09;;;Formation continue des adultes et validation des acquis de l'expérience;
SSA;BG;141-09-01;;;"Dépenses de personnel concourant à l'action ""formation continue des adultes en VAE""";
SSA;BG;141-09-02;;;Formation continue;
SSA;BG;141-09-03;;;Validation des acquis de l'expérience (VAE);
ACT;BG;141-08;;;Information et orientation;
ACT;BG;141-07;;;Aide à l'insertion professionnelle;
ACT;BG;141-05;;;Enseignement post-baccalauréat en lycée;
ACT;BG;141-99;;;Dépenses de personnel du programme à reventiler;
PGM;BG;214;EC;06;Soutien de la politique de l'éducation nationale;SoutienPolitiqueEduc
ACT;BG;214-05;;;Action internationale;
SSA;BG;214-05-01;;;"Personnel concourant à l'action ""action internationale""";
SSA;BG;214-05-02;;;Actions financées par l'Etat;
SSA;BG;214-05-03;;;Centre international d'études pédagogiques (CIEP);
ACT;BG;214-10;;;Transports scolaires;
ACT;BG;214-08;;;Logistique, système d'information, immobilier;
SSA;BG;214-08-01;;;"Personnel concourant à l'action ""logistique, système d'information et immobilier""";
SSA;BG;214-08-02;;;Logistique et système d'information (hors personnel);
SSA;BG;214-08-03;;;Immobilier (services administratifs);
SSA;BG;214-08-04;;;Immobilier (établissements scolaires);
ACT;BG;214-03;;;Communication;
ACT;BG;214-01;;;Pilotage et mise en oeuvre des politiques éducatives;
SSA;BG;214-01-01;;;"Dépenses de personnel concourant à l'action ""pilotage et mise en oeuvre des politiques éducatives""";
SSA;BG;214-01-02;;;Pilotage et mise en oeuvre des politiques éducatives de l'enseignement scolaire;
SSA;BG;214-01-03;;;Pilotage et mise en oeuvre des politiques éducatives de l'enseignement supérieur;
ACT;BG;214-09;;;Certification;
SSA;BG;214-09-01;;;Personnel;
SSA;BG;214-09-02;;;Diplôme national du brevet;
SSA;BG;214-09-03;;;Diplômes d'enseignement général et technologique;
SSA;BG;214-09-04;;;Diplômes professionnels;
SSA;BG;214-09-05;;;Examens postbaccalauréat;
SSA;BG;214-09-06;;;Dépenses transversales des examens des élèves;
ACT;BG;214-06;;;Politique des ressources humaines;
SSA;BG;214-06-01;;;"Personnel concourant à l'action ""politiques des ressources humaines""";
SSA;BG;214-06-02;;;Pilotage et gestion des personnels;
SSA;BG;214-06-03;;;Recrutement des personnels enseignants;
SSA;BG;214-06-04;;;Recrutement des personnels non enseignants;
SSA;BG;214-06-05;;;Action sociale;
SSA;BG;214-06-06;;;Formation des personnels non enseignants;
ACT;BG;214-04;;;Expertise juridique;
ACT;BG;214-07;;;Établissements d'appui de la politique éducative;
ACT;BG;214-02;;;Évaluation et contrôle;
ACT;BG;214-99;;;Dépenses de personnel du programme à reventiler;
PGM;BG;139;EC;06;Enseignement privé du premier et du second degrés;ens. privé
ACT;BG;139-07;;;Dispositifs spécifiques de scolarisation;
ACT;BG;139-01;;;Enseignement pré-élémentaire;
ACT;BG;139-02;;;Enseignement élémentaire;
ACT;BG;139-04;;;Enseignement général et technologique en lycée;
ACT;BG;139-06;;;Enseignement post-baccalauréat en lycée;
ACT;BG;139-08;;;Actions sociales en faveur des élèves;
SSA;BG;139-08-01;;;Bourses et primes de collèges;
SSA;BG;139-08-02;;;Bourses et primes de lycées;
SSA;BG;139-08-03;;;Fonds sociaux de collèges;
SSA;BG;139-08-04;;;Fonds sociaux de lycées;
ACT;BG;139-09;;;Fonctionnement des établissements;
SSA;BG;139-09-01;;;Forfait d'externat;
SSA;BG;139-09-02;;;Crédits pédagogiques;
SSA;BG;139-09-04;;;Interventions;
SSA;BG;139-09-06;;;Droit d'accueil pour les élèves dans les écoles primaires;
ACT;BG;139-10;;;Formation des personnels enseignants;
ACT;BG;139-11;;;Remplacement;
ACT;BG;139-12;;;Soutien;
ACT;BG;139-05;;;Enseignement professionnel sous statut scolaire;
ACT;BG;139-03;;;Enseignement en collège;
ACT;BG;139-99;;;Dépenses de personnel du programme à reventiler;
MSN;BG;GA;;;Gestion des finances publiques et des ressources humaines;Gest.financ.publ.&RH
PGM;BG;148;GA;07;Fonction publique;Fonction publique
ACT;BG;148-01;;;Formation des fonctionnaires;
SSA;BG;148-01-01;;;Ecole nationale d'administration;
SSA;BG;148-01-02;;;Instituts régionaux d'administration;
SSA;BG;148-01-07;;;Formation interministérielle;
ACT;BG;148-02;;;Action sociale interministérielle;
SSA;BG;148-02-02;;;Aide aux familles;
SSA;BG;148-02-03;;;Retraités;
SSA;BG;148-02-04;;;Logement;
SSA;BG;148-02-05;;;Restauration;
SSA;BG;148-02-06;;;Sections régionales interministérielles d'action sociale;
ACT;BG;148-03;;;Appui et innovation des ressources humaines;Appui Innovation RH
PGM;BG;156;GA;07;Gestion fiscale et financière de l'État et du secteur public local;GestFiscaleFinÉtatSectPub
ACT;BG;156-08;;;Gestion des fonds déposés;
ACT;BG;156-99;;;Dépenses de personnel de la direction générale des finances publiques - à reventiler;
ACT;BG;156-09;;;Soutien;
ACT;BG;156-06;;;Gestion des pensions;
ACT;BG;156-07;;;Gestion financière du secteur public local hors fiscalité;Gest. fin SPL hors fisc.
ACT;BG;156-05;;;Gestion financière de l'État hors fiscalité;Gest. fin Etat hors fisc.
ACT;BG;156-03;;;Fiscalité des particuliers et fiscalité directe locale;Fisc. Particuliers & FDL
ACT;BG;156-02;;;Fiscalité des PME;
SSA;BG;156-02-01;;;Fiscalité des PME (hors remises sur les ventes de timbres);Fisc. PME (hors remises)
SSA;BG;156-02-02;;;Remises sur les ventes de timbres;Remises ventes timbres
ACT;BG;156-01;;;Fiscalité des grandes entreprises;Fisc. grande entreprise
PGM;BG;218;GA;07;Conduite et pilotage des politiques économiques et financières;Pilot.ÉcoFina
ACT;BG;218-07;;;Pilotage des finances publiques et projets interministériels;
ACT;BG;218-09;;;Action sociale ministérielle;Action soc. ministé.
SSA;BG;218-09-01;;;Action sociale;
SSA;BG;218-09-02;;;Hygiène et sécurité;
ACT;BG;218-08;;;Accompagnement du changement de l’action publique;
ACT;BG;218-05;;;Prestations d'appui et support;Prestations support
ACT;BG;218-02;;;Expertise, audit, évaluation et contrôle;Expertise et contrôle
ACT;BG;218-99;;;Personnel du programme à reventiler;
PGM;BG;302;GA;07;Facilitation et sécurisation des échanges;Facil&sécurisEchanges
ACT;BG;302-98;;;Personnel du programme à reventiler;
ACT;BG;302-04;;;Promotion des échanges internationaux et qualité du dédouanement;
ACT;BG;302-01;;;Surveillance douanière des flux de personnes et de marchandises et lutte contre la grande fraude douanière.;
ACT;BG;302-03;;;Préservation de la sécurité et de la sûreté de l'espace national et européen;
ACT;BG;302-05;;;Fiscalité douanière, énergétique et environnementale;
ACT;BG;302-06;;;Soutien des services opérationnels;
ACT;BG;302-08;;;Soutien au réseau des débitants de tabac;débitants tabac soutien
MSN;BG;JA;;;Justice;Justice
PGM;BG;107;JA;10;Administration pénitentiaire;Adm.pénitentiaire
ACT;BG;107-04;;;Soutien et formation;
ACT;BG;107-01;;;Garde et contrôle des personnes placées sous main de justice;Garde et contrôle
ACT;BG;107-02;;;Accueil et accompagnement des personnes placées sous main de justice;Accueil et accompagnement
ACT;BG;107-99;;;Dépenses de personnel du programme à reventiler;
PGM;BG;166;JA;10;Justice judiciaire;Justice judiciaire
ACT;BG;166-08;;;Support à l'accès au droit et à la justice;Action accès au droit
SSA;BG;166-08-01;;;Aide juridictionnelle - Personnel;Personnels aide juridict
SSA;BG;166-08-02;;;Accès au droit, réseau judiciaire de proximité et médiation familiale - Personnel;Personnels accès droit
SSA;BG;166-08-03;;;Aide aux victimes - Personnel;Personnels aide victime
ACT;BG;166-01;;;Traitement et jugement des contentieux civils;Action civile
SSA;BG;166-01-01;;;Traitement et jugement des contentieux commerciaux;Affaires commerciales
SSA;BG;166-01-02;;;Traitement et jugement des contentieux sociaux;Affaires sociales
SSA;BG;166-01-03;;;Traitement et jugement des autres contentieux civils;Affaires civiles
SSA;BG;166-01-04;;;"Personnels concourant aux différentes sous-actions de l'action ""traitement et jugement des contentieux civils""";Personnels action civile
ACT;BG;166-07;;;Formation;
SSA;BG;166-07-01;;;Ecole nationale de la magistrature;ENM
SSA;BG;166-07-02;;;Ecole nationale des greffes;ENG
SSA;BG;166-07-03;;;Formation régionalisée;
ACT;BG;166-06;;;Soutien;
SSA;BG;166-06-01;;;Administration et gestion;
SSA;BG;166-06-02;;;Gestion immobilière du propriétaire;Immobilier propriétaire
SSA;BG;166-06-06;;;Gestion immobilière de l'occupant;Immobilier occupant
ACT;BG;166-05;;;Enregistrement des décisions judiciaires;Casier judiciaire
ACT;BG;166-03;;;Cassation;
ACT;BG;166-02;;;Conduite de la politique pénale et jugement des affaires pénales;Action pénale
SSA;BG;166-02-05;;;"Personnels concourant aux différentes sous-actions de l'action ""conduite de la politique pénale et jugement des affaires pénales""";Personnels action pénale
SSA;BG;166-02-06;;;"Conduite politique pénale, orientation et mise en état des affaires ; exécution des peines";Politique pén exéc peines
SSA;BG;166-02-07;;;"Instruction ; jugement affaires pénales ; application des peines";Instruction-jugement-AP
SSA;BG;166-02-08;;;Frais de justice centraux;
ACT;BG;166-99;;;Dépenses de personnel concourant au programme à reventiler;
PGM;BG;182;JA;10;Protection judiciaire de la jeunesse;Protec.JudiciaireJeunesse
ACT;BG;182-04;;;Formation;
SSA;BG;182-04-01;;;Ecole nationale de Protection judiciaire de la jeunesse - site central;ENPJJ - Site central
SSA;BG;182-04-02;;;Ecole nationale de Protection judiciaire de la jeunesse - pôles territoriaux de formation;ENPJJ - PTF
SSA;BG;182-04-03;;;Formation  - hors Ecole nationale de Protection judiciaire de la jeunesse;Autres formations
ACT;BG;182-03;;;Soutien;
SSA;BG;182-03-01;;;Administration centrale, directions inter-régionales et territoriales (hors CPER);AC DIR DT - SP
ACT;BG;182-01;;;Mise en oeuvre des décisions judiciaires;Décisions Judiciaires PJJ
SSA;BG;182-01-01;;;Centres éducatifs fermés (CEF) - Secteur public;CEF - SP
SSA;BG;182-01-02;;;Centres éducatifs renforcés (CER) - Secteur public;CER - SP
SSA;BG;182-01-03;;;Hébergement non spécialisé tarification exclusive - secteur associatif habilité;Héberg. exclusif - SAH
SSA;BG;182-01-04;;;Hébergement non spécialisé tarification conjointe - secteur associatif habilité;Héberg. conjoint - SAH
SSA;BG;182-01-14;;;Réparations pénales - Secteur associatif habilité;Réparations pénales - SAH
SSA;BG;182-01-16;;;Milieu Fermé - Etablissements pénitentiaires pour mineurs - Secteur public;EPM - SP
SSA;BG;182-01-17;;;Mesures éducatives d'activité de jour - Secteur associatif habilité;Activité de Jour - SAH
SSA;BG;182-01-05;;;Centres éducatifs fermés (CEF) - Secteur associatif habilité;CEF - SAH
