beneficiaire,adresse,descriptif,montant,nom,prenom,departement,groupe,programme_budgetaire,ID_Acteur
"Fondation Gabriel Péri","11, rue Etienne Marcel 93500 PANTIN",Fonctionnement,130000.00,"Présidence de l'Assemblée nationale",,"*(non rattaché à un département)",,129-11,
"Fondation GoodPlanet","Domaine de Longchamp
1, carrefour de Longchamp
75116 - Paris",Fonctionnement,20000.00,CHARTIER,Jérôme,Val-d'Oise,"Les Républicains",174-05,PA267895
"Fondation hospitaliaire de la Miséricorde","15 fossés Saint Julien
14000 CAEN","Création d'une unité mobile de soins dentaire",27000.00,DURON,Philippe,Calvados,"Socialiste, républicain et citoyen",204-12,PA1226
"Fondation INNABIO SANTE - Toulouse Cancer Santé",Toulouse,"Financement du projet ""Targeting pleckstrine""",5500.00,ARRIBAGÉ,Laurence,Haute-Garonne,"Les Républicains",204-14,PA642759
"Fondation internationale des finances publiques (FONDAFIP)",,Fonctionnement,15000.00,"Présidence de l'Assemblée nationale",,"*(non rattaché à un département)",,129-11,
"Fondation Jean Jaurès",,Fonctionnement,30000.00,"Présidence de l'Assemblée nationale",,"*(non rattaché à un département)",,129-11,
"Fondation Jean-Jaurès","12, Cité Malesherbes
75009 PARIS",Fonctionnement,200000.00,"Présidence de l'Assemblée nationale",,"*(non rattaché à un département)",,129-11,
"Fondation Jeunesse Feu Vert","34 rue de Picpus
75012 PARIS","Prévention de l’engagement dans les trafics et retour des jeunes vers l'emploi",5000.00,FILIPPETTI,Aurélie,Moselle,"Socialiste, républicain et citoyen",163-02,PA333611
"Fondation le refuge",Wangen,Fonctionnement,1000.00,FURST,Laurent,Bas-Rhin,"Les Républicains",177-11,PA266774
"Fondation Léopold Sedar Senghor","Rue Alpha Hachamiyou Tall x Angle René Ndiaye
Dakar
Senegal",Culture,5000.00,AMIRSHAHI,Pouria,"Français établis hors de France","Socialiste, républicain et citoyen",224-02,PA610968
"Fondation Maréchal de Lattre","M. Jean LEITERER
145, avenue d'Altkirch
68350 BRUNSTATT",Fonctionnement,1000.00,GROSSKOST,Arlette,Haut-Rhin,"Les Républicains",167-02,PA267227
"Fondation Maréchal de Lattre de Tassigny","Comité départemental 17
38 rue Delabarre
17000 LA ROCHELLE","Actions de mémoire et d'éducation à la citoyenneté",1000.00,FALORNI,Olivier,Charente-Maritime,"Radical, républicain, démocrate et progressiste",167-02,PA605694
"Fondation Maréchal Leclerc","Jean Leiterer - 145 av d'Altkirch --
68350 Brunstatt",Fonctionnement,1000.00,HILLMEYER,Francis,Haut-Rhin,"Union des démocrates et indépendants",167-02,PA216574
"Fondation Méditerranéenne d'Etudes Stratégiques",HYERES,Fonctionnement,1000.00,GIRAN,Jean-Pierre,Var,"Les Républicains",144-03,PA1483
"Fondation Mequignon","16 route de l'Abbé MEQUIGNON  ELANCOURT","Rénovation de la chapelle d'un site d'hébergement social",2000.00,HAMON,Benoît,Yvelines,"Socialiste, républicain et citoyen",304-17,PA590032
"Fondation Nicolas Hulot","6 rue de l’Est
92100 Boulogne-Billancourt","Projet de vidéo pédagogique sur les questions de financement de la transition écologique",10000.00,LEROY,Arnaud,"Français établis hors de France","Socialiste, républicain et citoyen",113-07,PA610905
"Fondation Nicolas Hulot","6 rue de l'Est
92100 Boulogne-Billancourt","Aide au fonctionnement",5000.00,CHANTEGUET,Jean-Paul,Indre,"Socialiste, républicain et citoyen",113-07,PA810
"Fondation Nicolas Hulot pour la Nature et l'Homme","Nicolas Hulot  Président
6, rue de l'Est
92100 Boulogne-Billancourt","Réalisation d'outils pédagogiques sur la restauration collective responsable",8000.00,"Groupe Écologiste",,"*(non rattaché à un département)",Écologiste,113-07,
"Fondation Nicolas Hulot pour la nature et pour l'homme","6, rue de l’Est
92100 Boulogne Billancourt","Réalisation d’outils de communication sur les innovations techniques et avancées liées à la remise en place de la consigne sur certains territoires",9500.00,LAMBERT,François-Michel,Bouches-du-Rhône,Écologiste,113-07,PA605518
"Fondation pour l'Ecologie politique","Sylvia Marcon  Directrice
31-33 rue de la Colonie
75013 Paris","Organisation d'un cycle de rencontres ""Rencontres - écolo""",20000.00,"Groupe Écologiste",,"*(non rattaché à un département)",Écologiste,129-11,
"Fondation pour l'innovation politique","11, rue de Grenelle 75007 PARIS",Fonctionnement,160000.00,"Présidence de l'Assemblée nationale",,"*(non rattaché à un département)",,129-11,
"Fondation Ripaille","M. Louis NECKER, Président
Château de Ripaille
74200 - Thonon les Bains","Salon du Livre de Ripaille",3000.00,FRANCINA,Marc,Haute-Savoie,"Les Républicains",175-01,PA267532
"Fondation Robert Schuman","29, bd Raspail
75007 PARIS",Fonctionnement,90000.00,"Présidence de l'Assemblée nationale",,"*(non rattaché à un département)",,129-11,
"Fondation Royaumont","15 000 €",Fonctionnement,15000.00,SCELLIER,François,Val-d'Oise,"Les Républicains",224-02,PA2700
"Fondation Sciences citoyennes","Bertrand Bocquet Président
38, rue Saint-Sabin
75011 Paris","Financement du programme ""démocratisation des choix scientifiques et techniques : processus participatifs en recherche et innovation",8000.00,"Groupe Écologiste",,"*(non rattaché à un département)",Écologiste,150-13,
"Fondation St John Perse","Cité du Livre 8/10 rue des Allumettes 13098 Aix en Provcence cedex 2","Printemps des poètes",3000.00,KERT,Christian,Bouches-du-Rhône,"Les Républicains",224-02,PA1761
"Fondation Syro d’arts Galerie",Lautenbach-Zell,Fonctionnement,1000.00,SORDI,Michel,Haut-Rhin,"Les Républicains",224-02,PA267013
"Fondation Universita di Corsica",,Fonctionnement,1000.00,MARCANGELI,Laurent,Corse-du-Sud,"Les Républicains",163-01,PA605782
"Fondation USVQ","55 avenue de Paris
VERSAILLES","Fonds documentaire de la bibliothèque universitaire",20000.00,HAMON,Benoît,Yvelines,"Socialiste, républicain et citoyen",150-05,PA590032
"Fondation UVSQ","55 avenue de Paris
78035 Versailles cedex",Fonctionnement,20000.00,DESCAMPS-CROSNIER,Françoise,Yvelines,"Socialiste, républicain et citoyen",150-05,PA609435
"Fondation UVSQ","M. Grégory QUENET, Directeur
55, avenue de Paris
78000 - Versailles","Achat de livres pour la bibliothèque universitaire",20000.00,PÉCRESSE,Valérie,Yvelines,"Les Républicains",150-17,PA267605
"Fondation Vasarely","1 avenue Marcel Pagnol Jas de Bouffan 13090 Aix en Provence","Développement du service de conservation",10000.00,KERT,Christian,Bouches-du-Rhône,"Les Républicains",224-02,PA1761
"Fonds arménien de France","5 avenue Reille
B 12
75660 Paris Cedex 14","Coopération décentralisée - travaux de l'école d'Ochagan",99000.00,ROUQUET,René,Val-de-Marne,"Socialiste, républicain et citoyen",209-09,PA2631
"FONS OUTRE GARDON","FONS OUTRE GARDON","Aménagement d'une aire de jeux de type city-park",5000.00,DUMAS,William,Gard,"Socialiste, républicain et citoyen",122-01,PA1193
FONSOMME,,"Réfection et isolation de la toiture de la mairie et de l'école",1590.00,BERTRAND,Xavier,Aisne,"Les Républicains",122-01,PA267080
FONSOMME,,"Mise en place de panneaux de signalisation Tyoe A15c clignotants à Leds - Hameau de Courcelles",587.00,BERTRAND,Xavier,Aisne,"Les Républicains",122-01,PA267080
FONSORBES,FONSORBES,"Aménagement d'un point écoute jeunes",22000.00,IBORRA,Monique,Haute-Garonne,"Socialiste, républicain et citoyen",122-01,PA331835
"Fontaine le comte","Fontaine le comte","Amélioration énergétique de la salle polyvalente",5000.00,COUTELLE,Catherine,Vienne,"Socialiste, républicain et citoyen",122-01,PA336421
Fontaine-Heudebourg,Fontaine-Heudebourg,"Construction d'une classe à l'école primaire",30000.00,LONCLE,François,Eure,"Socialiste, républicain et citoyen",122-01,PA1991
FONTAINE-MACON,,"l'aménagement de la rue de la Planchette et du chemin Croisé",9000.00,MENUEL,Gérard,Aube,"Les Républicains",122-01,PA2155
FONTAINE-SOUS-MONTDIDIER,,"le ravalement de l'église Notre Dame",10000.00,GEST,Alain,Somme,"Les Républicains",122-01,PA1466
FONTAINES-EN-SOLOGNE,,"la mise en accessibilité de la mairie, l'extension de la garderie et de la géothermie à l'ensemble des bâtiments",10000.00,MARTIN-LALANDE,Patrice,Loir-et-Cher,"Les Républicains",122-01,PA2099
FONTANNES,,"la mise en place de buts transportables au stade municipal et le remplacement partiel de la main courante avec pose de grilles de protection",7000.00,VIGIER,Jean-Pierre,Haute-Loire,"Les Républicains",122-01,PA607090
Fontenailles,77370,"aménagement esplanade rue Maurice Wanlin",5000.00,JÉGO,Yves,Seine-et-Marne,"Union des démocrates et indépendants",122-01,PA267801
"Fontenay le Pesnel","Fontenay le Pesnel","Acquisition et aménagement de la salle paroissiale en vue d'y installer une bibliothèque municipale",15464.00,DURON,Philippe,Calvados,"Socialiste, républicain et citoyen",122-01,PA1226
"FONTENAY TORCY",,"Jardin du souvenir",1000.00,MANCEL,Jean-François,Oise,"Les Républicains",122-01,PA2048
"Fontenay Triathlon","Fontenay le comte",Fonctionnement,1000.00,FOURAGE,Hugues,Vendée,"Socialiste, républicain et citoyen",219-01,PA609775
"Fontenelle en Brie","Fontenelle en Brie","Aménagement de la RD1",4000.00,KRABAL,Jacques,Aisne,"Radical, républicain, démocrate et progressiste",122-01,PA605084
FONTENOY-LA-JOUTE,,"l'aménagement de la cuisine du futur restaurant communal",5000.00,LAMBLIN,Jacques,Meurthe-et-Moselle,"Les Républicains",122-01,PA267551
FONTENY,,"la mise en sécurité électrique de l'appartement communal",1000.00,MARTY,Alain,Moselle,"Les Républicains",122-01,PA267556
"FONTIERS CABARDES","FONTIERS CABARDES","Aménagement d'une aire de jeux du parc du Bosquet",4000.00,DUPRÉ,Jean-Paul,Aude,"Socialiste, républicain et citoyen",122-01,PA1208
Fontvieille,Fontvieille,"Restauration du moulin Tissot-Avon",10000.00,VAUZELLE,Michel,Bouches-du-Rhône,"Socialiste, républicain et citoyen",122-01,PA2883
"Foot Club Val de Durance","ORGON
(13660)",Fonctionnement,2000.00,REYNÈS,Bernard,Bouches-du-Rhône,"Les Républicains",219-01,PA330788
"FOOT FEMININ","AGGLO NIMES","ACHAT MATERIEL FOOT FEMININ",2000.00,DUMAS,Françoise,Gard,"Socialiste, républicain et citoyen",219-01,PA606202
"Foot Saint Jean","Mairie de Saint
31240 SAINT JEAN","Tournoi annuel",3000.00,BAPT,Gérard,Haute-Garonne,"Socialiste, républicain et citoyen",219-01,PA356
"Foot Terre de Camargue","9 bis, avenue du Bourguidou
30220 AIGUES-MORTES","Achat matériel sportif et maillots",2000.00,COLLARD,Gilbert,Gard,"Députés non inscrits",219-01,PA606212
"Foot Thiézac",,Fonctionnement,1000.00,CALMETTE,Alain,Cantal,"Socialiste, républicain et citoyen",129-01,PA605643
"FOOT US - Tigy - Vienne","Bouzy la Forêt",Fonctionnement,1000.00,"DE GANAY",Claude,Loiret,"Les Républicains",219-01,PA267735
"Foot-ball Club","Lot de l'Europe
3 allée René Cassin
26120 CHABEUIL","Achat de Matériel",1000.00,MARITON,Hervé,Drôme,"Les Républicains",219-01,PA2083
"Football Association Bourbaki","41, Bd du Resteur Jean Sarrailh
64000 PAU",Fonctionnement,4000.00,LIGNIÈRES-CASSOU,Martine,Pyrénées-Atlantiques,"Socialiste, républicain et citoyen",219-01,PA1979
"Football club","MOLLEGES (13940)",Fonctionnement,1500.00,REYNÈS,Bernard,Bouches-du-Rhône,"Les Républicains",219-01,PA330788
"Football Club  Neuilly / Cambronne",,Fonctionnement,3000.00,COURTIAL,Édouard,Oise,"Les Républicains",219-01,PA267743
"Football Club Albères","Stade du Marasquer
6700 Argelès sur Mer",,5000.00,AYLAGAS,Pierre,Pyrénées-Orientales,"Socialiste, républicain et citoyen",219-01,PA608348
"Football Club Andéolais",GIVORS,Fonctionnement,1000.00,FENECH,Georges,Rhône,"Les Républicains",219-01,PA267591
"Football Club Armissan","21 rue de la Montée Blanche
11110 ARMISSAN","Pérenniser l'association et aller au bout des projets",1000.00,FABRE,Marie-Hélène,Aude,"Socialiste, républicain et citoyen",219-01,PA605349
"Football Club Aulnaysien (FCA)","Impasse Cérès / 93600 Aulnay-sous-Bois","club de football",10000.00,GOLDBERG,Daniel,Seine-Saint-Denis,"Socialiste, républicain et citoyen",219-01,PA336971
"Football Club Boujan Méditerranée","Boujan sur Libron",Fonctionnement,1500.00,ABOUD,Élie,Hérault,"Les Républicains",219-01,PA267457
"Football Club Bussy – Bussy Saint Georges","MAIRIE 77600
Bussy saint Georges",,4000.00,"RIHAN CYPEL",Eduardo,Seine-et-Marne,"Socialiste, républicain et citoyen",219-01,PA609292
"Football Club Charvieu-Chavagneux",Charvieu-Chavagneux,Fonctionnement,2000.00,MOYNE-BRESSAND,Alain,Isère,"Les Républicains",219-01,PA2250
"Football Club de Bazougers",BAZOUGERS,Fonctionnement,1000.00,CHEVROLLIER,Guillaume,Mayenne,"Les Républicains",163-01,PA607489
"Football Club de Brenouille",,Fonctionnement,2000.00,COURTIAL,Édouard,Oise,"Les Républicains",219-01,PA267743
"Football club de Cruseilles",Cruseilles,Fonctionnement,2000.00,SADDIER,Martial,Haute-Savoie,"Les Républicains",219-01,PA267527
"Football Club de Dahlenheim",Dahlenheim,Fonctionnement,1000.00,FURST,Laurent,Bas-Rhin,"Les Républicains",163-01,PA266774
"Football Club de Fécamp","Union Sportive Football Fécamp - 1 chemin de la Cavée Blanche - 76400 FECAMP",Sport,1500.00,GRELIER,Estelle,Seine-Maritime,"Socialiste, républicain et citoyen",219-01,PA609218
"Football Club de Frotey les Lure","44 route de Moffans
70200 FROTEY LES LURE","Aide au fonctionnement de l'association",4000.00,VILLAUMÉ,Jean-Michel,Haute-Saône,"Socialiste, républicain et citoyen",219-01,PA334951
"Football Club de Gevry",Gevry,Fonctionnement,4000.00,SERMIER,Jean-Marie,Jura,"Les Républicains",163-01,PA267204
"Football Club de Haybes","820 rue Francis de Pressencé, 08170 Fumay",Fonctionnement,3000.00,LÉONARD,Christophe,Ardennes,"Socialiste, républicain et citoyen",219-01,PA605278
"Football Club de la plaine de l'Ain",Blyes,Fonctionnement,1000.00,"DE LA VERPILLIÈRE",Charles,Ain,"Les Républicains",219-01,PA1012
"Football Club de Nérac en Albret","Philippe BRUNET
BP40
47600 Nerac",Sport,2000.00,LOUSTEAU,Lucette,Lot-et-Garonne,"Socialiste, républicain et citoyen",219-01,PA607283
"Football Club de Niederhaslach",Niederhaslach,Fonctionnement,1000.00,FURST,Laurent,Bas-Rhin,"Les Républicains",219-01,PA266774
"Football Club de Saint Maurice de Gourdans",Saint-Maurice-de-Gourdans,Fonctionnement,1000.00,"DE LA VERPILLIÈRE",Charles,Ain,"Les Républicains",219-01,PA1012
"Football Club de Sens",,Fonctionnement,2000.00,FORT,Marie-Louise,Yonne,"Les Républicains",219-01,PA336576
"Football Club de Souffel",,Fonctionnement,2500.00,SCHNEIDER,André,Bas-Rhin,"Les Républicains",219-01,PA2707
"Football Club de Steene",STEENE,Fonctionnement,1500.00,DECOOL,Jean-Pierre,Nord,"Les Républicains",219-01,PA267762
"Football Club de Tarare W692001064",,Fonctionnement,1000.00,VERCHÈRE,Patrice,Rhône,"Les Républicains",219-01,PA334843
"Football Club de Wambrechies",,Fonctionnement,1000.00,DAUBRESSE,Marc-Philippe,Nord,"Les Républicains",219-01,PA1001
"Football club de Yébleron","Alain HEBERT - 711 rue du manoir - 76640 BENNETOT",Sport,1200.00,GRELIER,Estelle,Seine-Maritime,"Socialiste, républicain et citoyen",219-01,PA609218
"Football Club Deulemontois",DEULEMONT,Fonctionnement,1000.00,DAUBRESSE,Marc-Philippe,Nord,"Les Républicains",163-01,PA1001
"Football Club du Bocage Fondacle les Olives","23, Rue Professeur Marcel Arnaud
Résidence fondacle Bt. Port Pin 1
13013 Marseille",Fonctionnement,10000.00,ANDRIEUX,Sylvie,Bouches-du-Rhône,"Députés non inscrits",219-01,PA271
"Football Club du Bourget","ESPACE EDUCATIF ET SPORTIF - 9, RUE ROGER SALENGRO - 93350 LE BOURGET",Fonctionnement,4000.00,LAGARDE,Jean-Christophe,Seine-Saint-Denis,"Union des démocrates et indépendants",219-01,PA268019
"Football club du Chéran",Sports,Fonctionnement,5000.00,TARDY,Lionel,Haute-Savoie,"Les Républicains",219-01,PA335159
"Football Club Espaly","Espaly Saint Marcel",Fonctionnement,8000.00,VIGIER,Jean-Pierre,Haute-Loire,"Les Républicains",219-01,PA607090
"Football club Everly",,Fonctionnement,2000.00,JACOB,Christian,Seine-et-Marne,"Les Républicains",163-01,PA1695
"Football Club feminin Juvisy Essonne","André-Jean ANTONINI
14 rue des Bergères
77350 Boissie La Bertrand","Accompagnement vers la réusite scolaire et professionnelle dans le cadre du projet sportif du club de football féminin",14000.00,SAS,Eva,Essonne,Écologiste,219-01,PA610002
"Football Club Grussenheim",GRUSSENHEIM,Fonctionnement,1300.00,STRAUMANN,Éric,Haut-Rhin,"Les Républicains",219-01,PA334654
"Football club lambescain","LAMBESC (13410)",Fonctionnement,1000.00,REYNÈS,Bernard,Bouches-du-Rhône,"Les Républicains",219-01,PA330788
"Football club Marcellinois","St Marcellin en Forez",Fonctionnement,1000.00,CINIERI,Dino,Loire,"Les Républicains",219-01,PA267429
"Football Club Marcoussis Nozay La Ville du Bois","Marcoussis/Nozay/La Ville du Bois","Achat de mini buts, ballons de foot, touckball",1000.00,KOSCIUSKO-MORIZET,Nathalie,Essonne,"Les Républicains",219-01,PA267628
"FOOTBALL CLUB MENIVAL","7, avenue Général Eisenhower
69005 LYON",Fonctionnement,10000.00,HOBERT,Gilda,Rhône,"Radical, républicain, démocrate et progressiste",219-01,PA642910
"Football Club monastérien","Café Besombes
Avenue de Millau
12000 Le Monastère",Fonctionnement,1000.00,CENSI,Yves,Aveyron,"Les Républicains",219-01,PA267266
"Football Club Penne-Saint-Sylvestre",Saint-sylvestre-sut-Lot,Fonctionnement,3000.00,COSTES,Jean-Louis,Lot-et-Garonne,"Les Républicains",219-01,PA695511
"Football Club Pontcharra Saint Loup W692001123",,Fonctionnement,1000.00,VERCHÈRE,Patrice,Rhône,"Les Républicains",219-01,PA334843
"Football club rognen","ROGNES (13840)",Fonctionnement,1000.00,REYNÈS,Bernard,Bouches-du-Rhône,"Les Républicains",219-01,PA330788
"Football Club Rumilly",SALES,Fonctionnement,2000.00,ACCOYER,Bernard,Haute-Savoie,"Les Républicains",219-01,PA230
"Football Club Saint-Lô Manche","Saint-Lô (50000)",Fonctionnement,2000.00,GOSSELIN,Philippe,Manche,"Les Républicains",219-01,PA266797
"Football club Sochaux Montbéliard omnisports Athlétisme(FCSMO)",Montbéliard,"Prépraration des athlètes",1000.00,BONNOT,Marcel,Doubs,"Les Républicains",219-01,PA267576
"Football Club Stéphanois","FC Stéphanois
Hôtel de Ville
44360 St-Etienne de Montluc",Sports,1250.00,AYRAULT,Jean-Marc,Loire-Atlantique,"Socialiste, républicain et citoyen",219-01,PA328
"Football Club Versailles 78",Versailles,Fonctionnement,5000.00,"DE MAZIÈRES",François,Yvelines,"Les Républicains",219-01,PA609345
"Football Colombier",Colombier,Fonctionnement,1500.00,MEUNIER,Philippe,Rhône,"Les Républicains",163-01,PA334906
"Football Cotière Meximieux Villieu",Perouges,Fonctionnement,1000.00,"DE LA VERPILLIÈRE",Charles,Ain,"Les Républicains",163-01,PA1012
"Football d'Haroué","12 place de la fontaine
54740 BENNEY","Aide au fonctionnement. Acquisition de petits matériels pour entrainement des enfants par encadrants bénévoles.",2000.00,POTIER,Dominique,Meurthe-et-Moselle,"Socialiste, républicain et citoyen",219-01,PA607553
"Football en Mont Pilat","Pélussin - Maclas",Fonctionnement,1000.00,CINIERI,Dino,Loire,"Les Républicains",219-01,PA267429
"Football-Club Igny","13 rue Jean Moulin
91430 Igny","Financement de l'achat d'un minibus",10000.00,LAMY,François,Essonne,"Socialiste, républicain et citoyen",219-01,PA1816
FORANIM,PARIS,"Manifestation culturelle",2000.00,GOUJON,Philippe,Paris,"Les Républicains",224-02,PA1521
Forbach,Forbach,"Aménagement de la voirie",44800.00,KALINOWSKI,Laurent,Moselle,"Socialiste, républicain et citoyen",122-01,PA607691
"Force 15","Mme Randa HADJAR
34, rue Cauchy
75015 - Paris","Organisation d'un déplacement",1500.00,LAMOUR,Jean-François,Paris,"Les Républicains",219-01,PA230329
FOREST-L'ABBAYE,"28 rue de la Mairie","remplacement des fenêtres d'une classe d’école",2000.00,BUISINE,Jean-Claude,Somme,"Socialiste, républicain et citoyen",122-01,PA609535
"Forêt des contes en Vocance","Forêt des contes en Vocance
Maison du Bois et du Conte
07690 VILLEVOCANCE","Participation à la refonte des outils de communication de l'association",1500.00,DUSSOPT,Olivier,Ardèche,"Socialiste, républicain et citoyen",224-02,PA330357
"Forêt des livres","21, allée Valérie Schneider
37600 Chanceaux-",évenement,10000.00,BEFFARA,Jean-Marie,Indre-et-Loire,"Socialiste, républicain et citoyen",334-01,PA342332
FORFRY,,"la mise en accessibilité et l'aménagement paysager de la rue d'En Haut",3000.00,COPÉ,Jean-François,Seine-et-Marne,"Les Républicains",122-01,PA917
Forgès,Forgès,"Réhabilitation de l'auberge communale",2800.00,DESSUS,Sophie,Corrèze,"Socialiste, républicain et citoyen",122-01,PA605758
Form'Oser,"496 rue des Fleurs
76590 LE BOIS ROBERT","Projet de coopération en Argentine",1000.00,CHAUVEL,Dominique,Seine-Maritime,"Socialiste, républicain et citoyen",209-02,PA609222
"Formation Aveyron rugby","Maison du rugby
Rue de Vieussens
12000 Rodez",Fonctionnement,15000.00,CENSI,Yves,Aveyron,"Les Républicains",219-01,PA267266
"Formes et Couleurs",,Fonctionnement,1000.00,"LE MAIRE",Bruno,Eure,"Les Républicains",224-02,PA331481
FORSTHEIM,,"le remplacement du système de chauffage, le traitement des fondations et la réfection des peintures intérieures de l'église",3000.00,REISS,Frédéric,Bas-Rhin,"Les Républicains",122-01,PA266776
"Fort en Sport",LYON,Fonctionnement,4000.00,NACHURY,Dominique,Rhône,"Les Républicains",204-12,PA344776
Fort-de-France,Fort-de-France,"Réhabilitation et recalibrage de la ravine de Bellevue",69000.00,LETCHIMY,Serge,Martinique,"Socialiste, républicain et citoyen",122-01,PA337483
"Forum des Associations",Grasse,Fonctionnement,1000.00,TABAROT,Michèle,Alpes-Maritimes,"Les Républicains",163-01,PA267794
"Forum Francophone des Affaires FFA",Charenton,Fonctionnement,5000.00,DEFLESSELLES,Bernard,Bouches-du-Rhône,"Les Républicains",105-06,PA1029
"Forum pour la sécurité urbaine","FFSU 10 rue des Montiboeufs 75020 Paris","Mise en œuvre des politiques de sécurité en lien avec collectivités",50000.00,"Groupe Socialiste, républicain et citoyen",,"*(non rattaché à un département)","Socialiste, républicain et citoyen",176-02,
"Forum Sinfonietta","Cour Jean Jaurès - 19140 UZERCHE","Projet ""Songe d'une nuit d'été""",2600.00,DESSUS,Sophie,Corrèze,"Socialiste, républicain et citoyen",224-02,PA605758
FOSSES,FOSSES,"Réalisation d'un restaurant intergenerationnel",40000.00,BLAZY,Jean-Pierre,Val-d'Oise,"Socialiste, républicain et citoyen",122-01,PA536
FOSSIEUX,,"l'acquisition de matériel informatique",645.00,MARTY,Alain,Moselle,"Les Républicains",122-01,PA267556
FOSSIEUX,,"le remplacement de l'horloge et du système de volée de la moyenne cloche de l'église",868.00,MARTY,Alain,Moselle,"Les Républicains",122-01,PA267556
FOUCARVILLE,,"le remplacement de la cloche de l'église",1500.00,GOSSELIN,Philippe,Manche,"Les Républicains",122-01,PA266797
FOUCHÉCOURT,FOUCHÉCOURT,"Aménagement de la voie communale n°4 dite ""Chemin du Bois""",2000.00,FRANQUEVILLE,Christian,Vosges,"Socialiste, républicain et citoyen",122-01,PA1362
FOUCHERANS,,"la mise en place de modules de skate-park",5000.00,SERMIER,Jean-Marie,Jura,"Les Républicains",122-01,PA267204
FOUGERES-SUR-BIEVRE,FOUGERES-SUR-BIEVRE,"constrution d'une salle dédiée aux associations",10000.00,ROBILIARD,Denys,Loir-et-Cher,"Socialiste, républicain et citoyen",,PA606991
FOUILLEUSE,,"l'acquisition d'un tracteur et de ses équipements",4000.00,COURTIAL,Édouard,Oise,"Les Républicains",122-01,PA267743
"FOULEES MAURITANIENNES","Patrick GIQUEL - Le Haut Plédy - 35330 MAURE DE BRETAGNE",Fonctionnement,1500.00,MARSAC,Jean-René,Ille-et-Vilaine,"Socialiste, républicain et citoyen",163-01,PA332206
FOULIGNY,FOULIGNY,"Remise en état du chauffage du foyer",5400.00,ZANETTI,Paola,Moselle,"Socialiste, républicain et citoyen",122-01,PA607699
FOUQUEBRUNE,FOUQUEBRUNE,"Construction d'un lotissement",21000.00,REYNAUD,Marie-Line,Charente,"Socialiste, républicain et citoyen",122-01,PA2549
FOUQUEURE,NULL,"Installation radars pédagogiques",2000.00,LAMBERT,Jérôme,Charente,"Radical, républicain, démocrate et progressiste",NULL,PA1809
FOUQUIERES-LES-LENS,FOUQUIERES-LES-LENS,"Aménagement d'une aire de jeux",10000.00,DELCOURT,Guy,Pas-de-Calais,"Socialiste, républicain et citoyen",122-01,PA267923
FOURCHES,FOURCHES,"travaux salle communale",10000.00,VALTER,Clotilde,Calvados,"Socialiste, républicain et citoyen",122-01,PA605606
FOURNEAUX,,"la réfection de la toiture de l'église",1500.00,GOSSELIN,Philippe,Manche,"Les Républicains",122-01,PA266797
FOURNEAUX,FOURNEAUX,"Aménagement Intérieur Accueil de jour Alzheimer",10000.00,SANTAIS,Béatrice,Savoie,"Socialiste, républicain et citoyen",122-01,PA608778
Fournoulès,Fournoulès,"Accessibilité bâtiments communaux",4183.00,CALMETTE,Alain,Cantal,"Socialiste, républicain et citoyen",122-01,PA605643
Fourqueux-Marly-Relais-Emploi-Solidarité,Fourqueux,Fonctionnement,5000.00,MORANGE,Pierre,Yvelines,"Les Républicains",102-02,PA2229
"Foyer AEFFO jeunes travailleuses","3 square Léon Guillot
75015 - Paris","Rénovation de locaux",2500.00,LAMOUR,Jean-François,Paris,"Les Républicains",177-11,PA230329
"Foyer collège Lamartine",Crémieu,Fonctionnement,1000.00,MOYNE-BRESSAND,Alain,Isère,"Les Républicains",230-01,PA2250
"Foyer culturel Chef-Boutonnais","Mairie                                                         79110 Chef-Boutonne","5ème biennale des Métiers d'art",1000.00,BATHO,Delphine,Deux-Sèvres,"Socialiste, républicain et citoyen",134-02,PA335999
"Foyer Culturel Neuilly","NEUILLY EN THELLE 60530",Fonctionnement,1000.00,FRANÇAIX,Michel,Oise,"Socialiste, républicain et citoyen",163-01,PA1353
"Foyer d'accueil La source de Cuiseaux (71)","Château de Reuille
71480 CUISEAUX",Fonctionnement,7000.00,UNTERMAIER,Cécile,Saône-et-Loire,"Socialiste, républicain et citoyen",177-11,PA608695
"Foyer Daubigny",Paris,Fonctionnement,9000.00,DEBRÉ,Bernard,Paris,"Les Républicains",232-04,PA1020
"Foyer de Beaucaire","Mr Jean-Claude BAYZE (Section Canoë) - Place de la Mairie 32410 BEAUCAIRE","Fonctionnement saison 2015",3000.00,BIÉMOURET,Gisèle,Gers,"Socialiste, républicain et citoyen",163-02,PA508
"Foyer de Jeunes et d'Education Populaire de bazancourt (Club Canoe Kayak)",Bazancourt,"Achat de 2 canoës",1500.00,ROBINET,Arnaud,Marne,"Les Républicains",163-02,PA417099
"Foyer de Mutzig – Section Yoga",Mutzig,Fonctionnement,1000.00,FURST,Laurent,Bas-Rhin,"Les Républicains",163-01,PA266774
"Foyer des anciens du Château de l'Hers - Pierre Baudis",Toulouse,"Achat de matériel",1000.00,ARRIBAGÉ,Laurence,Haute-Garonne,"Les Républicains",157-05,PA642759
"Foyer des élèves de la MFR d'Arradon","Le Vincin, CS 70 016, 56 610 ARRADON","Voyage d'étude pour 18 élèves de la filière bac pro",2500.00,PELLOIS,Hervé,Morbihan,"Socialiste, républicain et citoyen ",230-06,PA607595
